Grain Diameter,Misorientation Angle,KAM,phi1,Phi,phi2,Phase,CI,IQ
8.93,8.32,0.9921,67.23,51.88,70.13,Ferrite,0.462,125
45.284,22.176,0.7056,49.72,62.31,89.7,Ferrite,0.764,138
17.905,47.314,0.7414,85.27,52.74,47.58,Ferrite,0.755,201
23.094,17.227,0.1993,10.74,52.18,34.94,Ferrite,0.403,83
39.66,12.746,0.8813,110.93,55.13,35.35,Ferrite,0.251,141
10.698,21.57,0.4995,324.7,64.54,8.65,Ferrite,0.508,175
12.526,35.731,0.8589,299.29,74.76,23.95,Ferrite,0.454,95
10.702,34.475,0.3557,133.92,62.03,45.19,Austenite,0.76,191
15.389,39.528,0.6531,207.3,64.64,38.87,Austenite,0.856,212
26.813,28.143,0.7056,204.25,52.6,49.05,Ferrite,0.378,93
27.853,16.506,0.5538,298.35,46.51,76.42,Ferrite,0.623,101
24.912,43.876,0.7214,85.06,62.85,20.27,Ferrite,0.232,216
11.65,2.859,0.5201,106.7,57.05,2.49,Ferrite,0.371,108
7.78,45.613,0.4053,108.64,37.93,3.44,Ferrite,0.809,91
22.545,20.107,1.0816,14.71,51.06,12.08,Ferrite,0.835,213
132.361,15.648,0.9147,113.29,54.01,51.34,Ferrite,0.821,205
27.052,10.402,0.3717,316.05,48.87,72.74,Ferrite,0.314,172
30.172,4.235,0.7705,328.32,72.78,79.81,Ferrite,0.641,157
123.21,13.573,0.3772,39.47,60.76,57.16,Ferrite,0.538,209
30.973,53.084,0.2446,164.9,71.48,36.28,Ferrite,0.993,172
24.39,32.758,0.9101,137.29,58.16,13.91,Ferrite,0.723,172
27.926,14.162,0.0888,176.17,55.98,36.13,Ferrite,0.948,198
16.022,2.773,0.8781,199.7,43.76,29.92,Ferrite,0.316,171
20.292,16.026,0.5242,7.29,55.14,78.3,Ferrite,0.561,151
24.037,39.211,0.5365,303.21,55.16,43.8,Ferrite,0.817,135
31.826,31.207,0.7229,350.52,38.59,20.36,Ferrite,0.494,150
18.428,10.834,0.7744,235.23,48.53,25.99,Ferrite,0.706,153
27.815,19.714,0.3521,237.76,51.12,12.28,Ferrite,0.609,131
19.52,51.793,0.8153,190.07,59.96,82.67,Ferrite,0.994,143
20.867,59.293,0.634,120.34,60.54,4.53,Ferrite,0.339,192
31.955,16.047,0.2232,53.63,48.02,1.16,Ferrite,0.948,138
8.973,43.265,0.549,210.26,60.63,16.47,Ferrite,0.521,84
12.276,50.901,1.0144,16.18,52.82,72.98,Ferrite,0.574,120
11.292,13.184,1.103,296.82,20.56,47.11,Ferrite,0.623,112
7.698,52.015,0.8152,151.53,49.18,56.33,Ferrite,0.412,191
16.213,44.721,0.2429,149.31,67.95,32.2,Ferrite,0.971,143
30.824,58.671,0.7472,117.78,34.82,6.18,Ferrite,0.929,119
19.353,61.107,0.8553,348.97,56.35,77.05,Ferrite,0.978,193
24.048,16.99,0.8177,62.97,74.02,17.27,Ferrite,0.998,83
35.916,35.912,0.8355,54.47,45.87,2.98,Ferrite,0.736,104
39.985,40.708,0.709,59.59,55.03,51.54,Ferrite,0.561,196
21.326,13.549,0.5783,237.07,39.35,7.5,Ferrite,0.881,157
40.454,30.805,0.4175,357.08,74.53,8.62,Ferrite,0.219,188
22.931,61.419,0.0306,84.77,54.0,72.03,Austenite,0.868,197
15.093,15.763,0.7019,326.02,55.56,44.24,Ferrite,0.598,212
16.837,3.499,0.6558,100.3,71.25,21.74,Ferrite,0.739,89
11.3,54.605,0.7673,233.24,62.94,31.38,Ferrite,0.499,192
14.752,3.586,0.1987,14.58,44.49,65.63,Ferrite,0.495,179
18.726,13.081,0.7935,178.44,47.23,5.97,Ferrite,0.225,109
31.584,60.968,1.2164,235.65,60.94,10.48,Ferrite,0.539,210
47.722,37.319,0.6235,193.08,47.51,55.46,Ferrite,0.527,137
11.811,8.839,0.5815,85.62,29.59,54.63,Ferrite,0.38,204
26.254,17.431,0.6927,298.26,54.36,87.52,Ferrite,0.398,165
13.774,59.435,1.2097,349.25,37.24,33.71,Ferrite,0.667,154
27.239,27.493,0.2929,165.31,74.4,5.86,Ferrite,0.454,102
20.74,38.691,0.661,228.93,57.12,48.38,Ferrite,0.864,208
9.652,19.263,0.3601,284.55,44.14,57.45,Ferrite,0.289,158
33.407,34.912,0.4359,86.94,46.62,12.56,Ferrite,0.662,81
164.851,58.715,0.5851,311.2,32.33,49.76,Ferrite,0.328,83
17.301,38.613,1.0042,100.87,41.81,17.8,Ferrite,0.623,189
13.594,60.643,1.1403,279.3,67.2,76.03,Ferrite,0.642,103
16.389,8.482,0.7344,40.36,81.78,75.16,Ferrite,0.714,164
26.671,38.714,0.487,103.82,63.72,38.67,Ferrite,0.542,175
20.204,55.398,1.3478,192.1,53.9,87.01,Ferrite,0.608,119
25.507,36.068,0.4717,188.97,49.82,88.18,Ferrite,0.345,160
25.891,28.136,0.4287,306.16,43.52,11.63,Ferrite,0.57,114
39.859,55.207,0.0675,358.61,79.72,33.09,Austenite,0.498,212
18.855,33.325,1.0188,38.6,52.74,54.03,Ferrite,0.733,200
11.319,39.944,0.8905,97.7,80.39,7.64,Ferrite,0.548,120
35.563,60.897,1.3253,128.74,71.72,34.44,Ferrite,0.823,154
18.951,23.765,0.1831,172.41,34.11,23.51,Ferrite,0.541,150
36.329,29.166,1.0375,177.81,47.01,85.68,Ferrite,0.389,214
26.142,16.46,0.621,308.23,46.97,37.04,Ferrite,0.419,135
20.739,33.416,0.8418,277.4,54.04,68.64,Ferrite,0.236,159
25.739,24.409,0.1057,6.79,54.28,34.8,Ferrite,0.632,210
52.931,46.962,1.0404,163.81,90.0,11.86,Ferrite,0.865,103
56.019,23.522,0.836,222.51,42.07,77.68,Ferrite,0.815,157
22.698,46.716,0.5883,165.74,57.75,0.04,Ferrite,0.55,95
23.644,27.383,0.7935,47.03,62.4,5.03,Ferrite,0.357,166
35.707,31.695,0.3704,143.09,54.98,32.79,Ferrite,0.891,131
15.037,6.28,0.4262,148.2,56.32,61.82,Ferrite,0.245,215
25.557,48.687,0.461,67.58,42.46,30.75,Ferrite,0.519,138
21.745,36.926,0.0442,272.27,56.28,5.97,Ferrite,0.885,99
25.338,31.981,0.8585,115.7,61.14,28.61,Ferrite,0.515,197
15.12,10.564,0.9575,212.04,58.93,22.05,Ferrite,0.294,195
10.759,41.882,0.3896,185.66,61.84,0.49,Ferrite,0.413,177
8.656,25.05,0.7045,315.87,71.95,48.13,Ferrite,0.68,185
13.306,6.495,0.5203,43.93,66.24,10.5,Austenite,0.322,117
17.897,31.105,0.6985,41.13,55.86,25.87,Ferrite,0.724,170
19.281,3.23,0.4117,108.12,40.94,57.71,Ferrite,0.551,85
52.604,38.246,0.335,155.24,47.8,65.26,Ferrite,0.468,108
36.188,20.825,0.9156,107.48,52.36,23.71,Ferrite,0.393,211
14.269,26.208,0.5808,274.75,58.03,29.63,Ferrite,0.859,183
25.726,50.114,1.2066,88.3,49.26,22.22,Ferrite,0.517,112
18.318,9.315,0.6139,30.52,43.77,86.12,Ferrite,0.791,96
19.357,52.926,0.3222,148.97,40.74,17.15,Ferrite,0.552,213
23.913,5.346,0.9681,278.42,35.19,16.49,Ferrite,0.273,96
29.069,43.507,0.7892,306.2,52.18,40.05,Ferrite,0.552,116
18.885,48.387,0.8181,264.0,37.36,17.04,Ferrite,0.606,106
35.509,9.766,0.9572,200.84,42.99,14.1,Ferrite,0.566,81
13.16,61.662,0.4042,260.71,50.27,8.63,Ferrite,0.853,124
22.063,2.683,0.5618,245.3,38.97,57.62,Ferrite,0.929,216
70.81,22.654,0.5486,84.37,59.56,55.09,Ferrite,0.829,128
24.323,7.102,0.2128,198.27,63.88,58.51,Ferrite,0.666,151
41.929,40.063,0.5209,277.42,48.41,69.6,Ferrite,0.633,184
22.925,23.362,1.0009,114.16,49.76,29.37,Ferrite,0.716,157
28.571,43.816,0.6712,235.43,61.45,82.66,Ferrite,0.43,184
21.445,15.664,0.1962,173.33,46.43,65.99,Ferrite,0.849,173
20.376,58.6,0.1332,181.14,45.61,72.42,Ferrite,0.885,165
15.491,27.435,1.0994,32.42,69.36,64.89,Austenite,0.414,171
26.7,2.345,0.5729,239.84,65.61,32.26,Ferrite,0.922,192
14.997,20.088,0.4058,311.65,62.22,25.47,Ferrite,0.879,179
29.682,13.078,0.5178,50.92,66.11,38.03,Ferrite,0.54,191
35.853,8.453,0.1568,131.8,31.27,8.73,Ferrite,0.927,100
25.945,16.542,1.0269,17.52,71.25,40.62,Ferrite,0.296,175
19.341,28.13,0.4821,10.67,59.7,3.88,Ferrite,0.222,183
26.986,24.068,1.0102,356.28,67.13,0.36,Ferrite,0.478,122
19.147,32.795,0.6155,177.65,59.65,83.83,Ferrite,0.652,202
33.517,33.103,1.0289,127.99,55.59,62.04,Ferrite,0.481,123
9.65,30.933,0.677,98.96,51.7,50.57,Ferrite,0.954,114
18.916,30.412,0.856,352.8,59.41,30.7,Ferrite,0.404,201
8.982,19.217,0.8157,90.81,51.26,51.35,Ferrite,0.425,115
11.226,16.185,0.787,261.26,65.41,80.24,Ferrite,0.708,138
40.641,24.499,0.7044,102.15,35.96,58.71,Ferrite,0.203,132
32.913,50.563,0.5301,25.38,48.5,54.22,Ferrite,0.782,206
15.915,61.568,1.1746,245.98,79.54,41.42,Ferrite,0.502,144
11.189,14.55,0.3279,0.59,47.49,31.11,Ferrite,0.982,177
5.795,38.698,0.6013,243.27,52.14,62.87,Ferrite,0.753,191
17.227,39.996,0.6045,90.14,44.41,88.29,Ferrite,0.242,168
65.381,29.785,0.7207,268.6,59.03,38.23,Ferrite,0.274,212
26.756,51.375,0.4712,277.11,46.16,35.3,Ferrite,0.271,192
17.103,50.944,0.6944,260.68,52.77,38.53,Austenite,0.962,136
27.122,54.681,0.5493,8.81,65.19,38.3,Ferrite,0.747,213
10.898,3.314,0.1254,253.35,46.61,89.16,Ferrite,0.542,153
19.245,35.414,0.6029,356.45,64.46,63.61,Ferrite,0.36,83
120.707,8.263,0.2698,87.35,64.87,32.33,Ferrite,0.899,116
21.164,52.901,0.0797,98.73,67.66,33.44,Ferrite,0.361,167
31.403,29.498,0.6411,292.87,56.69,38.77,Ferrite,0.765,102
25.691,58.674,0.7464,57.74,90.0,3.3,Austenite,0.811,162
29.719,19.434,0.758,237.81,67.65,47.5,Austenite,0.436,131
16.14,6.81,0.7702,271.81,58.9,73.02,Ferrite,0.604,155
32.952,7.429,0.0202,13.38,44.49,59.45,Ferrite,0.378,80
45.79,3.539,0.1917,199.35,53.84,17.86,Ferrite,0.503,199
14.218,45.843,1.1921,207.32,72.12,65.52,Ferrite,0.972,131
14.755,12.89,0.2858,109.24,75.51,64.75,Ferrite,0.755,100
40.131,51.199,0.7833,315.48,72.74,23.63,Ferrite,0.877,141
20.185,5.949,0.3939,58.59,64.42,56.06,Ferrite,0.632,148
41.379,43.313,0.6239,131.11,39.93,54.99,Ferrite,0.391,169
18.028,55.272,0.41,305.52,60.85,75.58,Ferrite,0.77,153
42.343,19.601,0.7685,68.63,40.1,12.25,Ferrite,0.6,86
23.341,27.968,0.641,295.69,37.15,17.54,Ferrite,0.341,202
24.711,34.466,0.4655,28.46,57.87,43.74,Ferrite,0.53,144
44.486,4.124,0.2849,176.12,61.28,3.97,Ferrite,0.708,91
18.695,10.688,0.6803,27.12,65.84,37.4,Ferrite,0.788,188
14.404,6.898,0.2362,244.05,60.97,70.94,Ferrite,0.395,172
17.979,33.459,0.7282,284.62,61.38,13.38,Ferrite,0.901,171
26.966,34.98,1.3879,305.95,43.18,41.4,Ferrite,0.504,140
10.875,56.332,1.0051,353.25,53.74,89.08,Ferrite,0.417,137
29.309,27.706,0.8155,241.93,36.91,45.53,Ferrite,0.356,155
17.264,57.006,0.5743,276.86,30.96,44.85,Ferrite,0.843,87
36.876,35.021,0.0184,182.07,63.89,50.29,Ferrite,0.483,122
7.49,30.407,0.2033,328.59,45.96,16.74,Ferrite,0.587,218
15.442,38.618,0.9848,231.75,65.47,13.24,Ferrite,0.378,173
10.3,34.634,0.3631,318.08,68.3,60.96,Ferrite,0.749,139
15.169,27.096,0.3902,84.76,47.57,35.62,Ferrite,0.825,111
24.594,38.626,0.5503,178.83,62.08,26.09,Ferrite,0.472,184
20.295,12.517,0.2814,262.73,47.07,2.83,Ferrite,0.956,116
19.629,31.541,0.232,72.98,32.85,76.14,Ferrite,0.224,103
20.479,3.05,0.5849,76.08,56.48,2.91,Ferrite,0.306,102
24.109,34.43,0.3325,352.1,49.35,67.5,Austenite,0.671,182
13.974,13.328,0.3777,156.46,49.72,34.38,Ferrite,0.761,170
30.239,10.245,0.3656,65.45,78.7,53.88,Ferrite,0.401,90
29.643,7.577,0.7567,119.33,36.69,22.29,Ferrite,0.643,96
26.162,51.882,0.5304,143.06,59.59,13.99,Austenite,0.455,169
28.261,60.477,0.5464,224.31,43.06,48.0,Ferrite,0.643,160
25.139,54.392,0.7791,332.29,65.9,62.61,Ferrite,0.727,176
54.972,21.679,0.5574,355.17,58.58,17.59,Ferrite,0.978,105
21.154,39.744,0.5165,234.61,59.55,39.27,Ferrite,0.565,182
19.161,22.989,0.7411,251.97,43.66,40.02,Austenite,0.719,211
15.673,53.457,0.8005,115.86,45.81,19.44,Austenite,0.662,164
13.826,42.456,0.5559,308.58,66.13,50.85,Ferrite,0.454,107
12.566,27.382,0.6242,78.41,76.25,13.13,Ferrite,0.402,175
14.748,58.691,0.3655,38.3,60.76,45.88,Ferrite,0.99,128
21.311,14.166,0.3418,350.37,44.23,10.21,Ferrite,0.365,87
25.571,12.887,0.8307,311.09,59.07,43.7,Ferrite,0.832,122
22.512,48.889,0.7335,109.31,84.13,28.04,Ferrite,0.317,207
15.589,17.766,0.7366,243.06,56.23,40.7,Ferrite,0.843,138
32.987,43.099,0.6843,168.13,72.54,39.04,Ferrite,0.349,201
30.685,53.347,0.6139,116.33,46.12,81.71,Ferrite,0.974,151
20.475,18.174,0.8089,103.24,54.49,44.09,Ferrite,0.749,152
16.399,39.075,0.8805,48.97,62.43,73.66,Ferrite,0.272,81
28.158,9.377,0.8734,197.75,59.77,20.31,Ferrite,0.755,169
23.942,46.157,0.5698,160.77,45.8,31.69,Ferrite,0.683,95
11.466,7.785,1.0161,184.39,45.29,6.76,Ferrite,0.47,147
21.337,59.041,0.6685,77.53,66.86,37.87,Ferrite,0.409,116
24.753,57.052,0.7897,337.9,69.3,60.18,Ferrite,0.775,135
14.676,6.039,0.6846,229.89,73.15,75.44,Ferrite,0.793,155
23.962,30.193,0.6741,323.86,76.65,50.93,Ferrite,0.462,82
11.431,5.719,0.3793,39.34,56.62,57.61,Ferrite,0.901,120
40.138,48.749,0.8104,224.23,51.27,15.95,Ferrite,0.415,219
38.576,35.805,1.4536,305.81,71.21,3.35,Ferrite,0.256,88
19.637,22.346,0.4876,119.13,63.56,71.25,Ferrite,0.68,125
25.909,11.202,0.6213,70.25,43.21,15.03,Austenite,0.286,125
7.438,61.989,0.4661,95.41,42.6,8.21,Austenite,0.421,133
13.075,14.687,0.4536,98.26,60.9,84.38,Ferrite,0.606,176
19.276,12.948,1.0633,160.99,52.87,86.72,Ferrite,0.429,115
13.58,37.672,0.3981,117.35,54.68,55.46,Ferrite,0.372,144
30.342,58.351,0.4578,97.66,67.87,34.08,Ferrite,0.763,170
54.045,12.345,0.1238,233.46,64.11,74.99,Austenite,0.638,125
12.956,9.094,0.3727,19.09,70.96,18.42,Ferrite,0.872,213
15.092,58.693,0.0875,122.53,31.82,38.65,Ferrite,0.665,217
24.459,59.532,0.7895,248.31,58.04,32.13,Ferrite,0.587,97
45.424,29.792,1.4399,63.31,63.34,82.14,Ferrite,0.409,128
12.692,31.693,0.49,79.53,36.68,82.78,Ferrite,0.834,109
24.609,8.278,0.1,72.24,47.14,58.58,Ferrite,0.357,106
49.93,34.56,0.87,0.33,44.91,9.97,Ferrite,0.394,149
10.462,23.932,0.3819,170.56,55.26,43.4,Ferrite,0.873,159
12.361,57.224,0.9898,14.03,74.53,22.08,Ferrite,0.793,140
18.182,26.905,0.5154,98.26,79.27,79.64,Ferrite,0.69,118
17.405,48.148,0.4105,358.13,45.23,12.46,Ferrite,0.231,119
31.713,3.007,0.5466,330.62,61.32,4.89,Ferrite,0.302,219
24.527,16.821,0.8273,77.43,61.71,63.4,Ferrite,0.6,209
9.898,45.725,0.5318,111.6,59.65,40.8,Ferrite,0.797,91
27.743,14.099,0.451,166.93,59.79,75.45,Ferrite,0.571,172
16.965,45.807,0.5404,303.99,58.64,6.72,Ferrite,0.214,144
39.038,19.419,0.2184,288.95,75.25,72.1,Ferrite,0.347,176
16.587,59.643,0.7191,45.45,68.23,3.36,Ferrite,0.671,164
122.253,4.676,0.064,44.8,42.28,2.53,Ferrite,0.755,204
28.066,14.685,0.4668,150.02,64.55,41.52,Ferrite,0.227,89
31.012,21.414,0.8278,313.23,65.71,19.92,Ferrite,0.235,129
26.915,30.048,0.6909,317.55,58.78,53.43,Ferrite,0.409,218
10.304,32.312,0.7771,38.65,68.58,2.32,Ferrite,0.267,106
28.027,40.247,0.5805,206.75,57.26,3.19,Ferrite,0.634,98
13.813,28.953,0.9509,56.04,57.41,65.44,Ferrite,0.299,182
24.457,2.639,0.8774,247.01,56.45,18.91,Ferrite,0.719,189
11.593,3.997,0.7338,329.92,30.78,59.08,Austenite,0.822,174
26.894,26.964,0.8783,163.72,54.04,67.49,Ferrite,0.976,189
15.303,4.537,0.8251,29.91,46.98,5.34,Austenite,0.959,177
12.352,9.391,0.4682,208.53,40.76,69.28,Ferrite,0.419,99
30.334,27.309,0.1968,147.07,72.21,24.16,Ferrite,0.224,165
164.873,44.467,0.7261,291.92,61.05,35.06,Ferrite,0.464,189
16.689,10.138,0.7638,122.52,54.64,7.8,Ferrite,0.767,201
42.27,31.233,0.9271,314.96,48.22,75.48,Ferrite,0.248,114
18.043,12.408,0.3191,98.53,58.55,50.47,Ferrite,0.488,98
22.32,51.277,0.3281,56.71,66.9,45.42,Ferrite,0.438,189
24.83,32.807,0.738,110.33,45.08,87.17,Ferrite,0.375,116
16.646,14.335,0.5786,12.57,54.94,30.11,Ferrite,0.765,84
27.196,60.412,0.0343,101.25,65.42,80.17,Ferrite,0.727,196
17.305,39.533,0.7125,237.64,31.77,64.77,Ferrite,0.628,151
18.28,57.76,0.0443,51.22,54.31,83.57,Ferrite,0.929,126
40.619,52.303,0.3164,40.09,49.85,81.7,Ferrite,0.283,82
13.774,17.76,1.0055,47.66,53.39,89.19,Ferrite,0.32,85
7.428,35.168,1.1475,27.92,48.98,11.85,Ferrite,0.507,191
45.421,47.821,0.2353,314.87,56.65,71.64,Ferrite,0.725,149
69.286,61.375,0.5012,339.88,78.08,72.4,Ferrite,0.667,101
18.332,36.544,0.6128,16.76,51.11,57.99,Ferrite,0.259,130
9.202,6.17,1.1344,273.63,58.5,25.1,Ferrite,0.967,103
19.131,41.414,0.4521,265.37,78.94,86.86,Ferrite,0.444,96
19.341,20.948,0.4569,358.89,48.4,18.4,Ferrite,0.487,119
20.198,50.321,1.0646,125.23,76.78,44.96,Ferrite,0.699,157
13.33,38.861,0.4876,102.78,55.06,46.93,Ferrite,0.956,109
28.555,11.385,0.8167,163.11,76.38,14.56,Ferrite,0.73,128
27.857,55.86,0.1569,308.37,64.0,65.03,Ferrite,0.964,147
11.23,44.561,0.5486,262.29,58.69,8.0,Ferrite,0.35,139
30.135,4.443,0.1021,169.78,54.21,62.38,Ferrite,0.695,98
55.409,3.395,0.2834,88.04,47.51,76.38,Ferrite,0.863,85
23.77,8.469,0.8518,261.73,55.91,31.45,Ferrite,0.607,85
18.902,8.754,0.585,307.63,65.77,63.85,Ferrite,0.49,129
20.638,8.607,0.5043,143.98,54.84,14.11,Austenite,0.988,181
29.018,41.141,0.3754,240.69,51.2,76.14,Ferrite,0.313,98
10.097,25.165,0.5338,144.08,51.99,85.68,Ferrite,0.529,190
23.689,55.436,0.6903,172.26,66.91,13.74,Ferrite,0.899,180
18.455,45.475,0.8949,188.97,69.7,62.27,Ferrite,0.92,81
50.53,34.75,0.1875,279.26,46.99,45.52,Ferrite,0.984,84
20.342,23.841,0.3505,351.9,46.98,47.83,Ferrite,0.908,107
46.6,30.934,0.6477,159.97,59.55,63.58,Ferrite,0.241,88
13.388,4.964,0.5703,123.23,73.33,43.99,Ferrite,0.944,154
28.654,10.289,0.721,134.49,68.75,54.03,Ferrite,0.543,86
25.401,19.398,0.6803,48.2,39.98,20.78,Ferrite,0.721,192
14.879,56.737,0.5085,106.9,51.83,34.07,Ferrite,0.515,149
23.828,50.918,0.4419,31.12,43.83,77.87,Austenite,0.851,182
37.965,24.39,0.5263,154.04,51.79,9.89,Ferrite,0.661,185
126.722,8.182,0.9446,60.25,74.25,53.78,Ferrite,0.876,151
10.274,2.784,0.3804,124.71,37.93,16.59,Austenite,0.355,210
21.827,12.689,0.5812,285.69,35.57,76.19,Ferrite,0.348,219
14.657,10.426,0.655,88.53,45.06,52.11,Ferrite,0.552,130
18.859,12.163,1.0681,220.28,58.45,36.27,Ferrite,0.204,98
21.207,29.059,0.5099,324.43,62.45,22.48,Ferrite,0.754,131
10.211,16.858,0.8876,204.09,60.25,39.32,Ferrite,0.437,111
10.633,49.239,0.9696,69.77,69.11,86.19,Ferrite,0.646,154
27.33,17.029,0.5809,124.12,33.84,45.83,Ferrite,0.256,133
17.389,15.228,0.5368,212.53,69.26,42.25,Ferrite,0.337,147
6.937,49.286,0.5013,182.38,51.25,67.16,Ferrite,0.698,187
31.319,10.734,0.5233,53.5,63.78,34.11,Ferrite,0.445,118
24.869,50.556,0.8563,160.85,39.12,38.47,Ferrite,0.372,155
15.955,6.822,0.6693,195.5,55.06,30.33,Ferrite,0.383,127
12.164,7.526,0.6706,96.24,57.84,13.58,Ferrite,0.372,190
32.045,35.498,0.2624,220.48,68.87,64.24,Ferrite,0.698,170
25.745,30.258,0.3098,25.26,35.98,78.57,Ferrite,0.334,81
64.278,39.521,1.243,121.18,55.37,81.5,Ferrite,0.49,172
26.579,35.264,0.5467,289.54,41.98,79.27,Ferrite,0.75,104
26.193,43.114,0.3676,93.34,61.07,40.66,Ferrite,0.611,181
20.408,11.688,1.0293,217.86,64.33,25.57,Ferrite,0.678,159
31.772,61.765,0.6845,147.61,70.45,57.41,Ferrite,0.401,136
29.146,18.701,0.7734,113.93,48.58,85.92,Ferrite,0.946,177
38.641,10.149,0.5586,329.81,66.13,65.43,Ferrite,0.531,200
17.4,23.493,0.5044,123.57,71.33,44.54,Ferrite,0.43,189
18.085,31.55,0.5491,85.2,35.28,61.99,Ferrite,0.923,156
17.733,28.511,0.1852,327.35,62.35,69.53,Ferrite,0.724,181
31.403,23.203,0.5736,268.54,66.5,82.73,Ferrite,0.691,138
43.177,50.912,0.6888,245.45,51.9,68.69,Austenite,0.909,190
17.896,38.326,1.1551,17.83,40.47,38.99,Ferrite,0.247,196
18.172,58.205,0.6258,47.23,66.32,24.62,Ferrite,0.87,99
25.34,16.532,0.1003,229.8,40.61,44.99,Ferrite,0.742,113
19.697,18.148,0.5718,75.4,52.86,29.54,Ferrite,0.488,118
33.766,33.954,1.4219,81.23,54.52,84.85,Austenite,0.405,103
7.986,18.773,0.8599,280.49,63.59,45.72,Ferrite,0.284,135
159.447,27.348,0.3567,102.93,47.48,42.49,Ferrite,0.953,107
15.471,61.343,0.7773,25.77,46.78,31.34,Ferrite,0.314,163
7.744,24.821,0.3774,13.12,56.19,57.55,Ferrite,0.408,94
14.259,24.312,0.1939,159.54,67.08,46.8,Ferrite,0.753,118
14.574,41.961,0.4955,222.17,82.45,11.61,Ferrite,0.768,173
20.096,5.555,0.6275,312.8,36.91,78.23,Ferrite,0.329,136
36.302,42.281,0.0384,39.89,58.78,32.31,Ferrite,0.851,139
19.703,3.655,0.2553,70.8,41.96,38.93,Ferrite,0.608,192
13.835,53.858,0.6031,190.73,67.23,18.51,Ferrite,0.879,218
21.443,21.513,0.4775,131.08,43.74,49.81,Ferrite,0.27,159
35.275,2.909,0.7184,173.71,46.9,63.18,Ferrite,0.234,91
14.18,8.255,0.2356,332.68,47.93,79.3,Ferrite,0.71,94
14.604,12.169,0.8142,196.16,54.09,4.64,Ferrite,0.32,216
28.287,32.37,0.2449,149.44,58.88,87.6,Ferrite,0.62,175
19.913,12.596,1.0928,356.2,60.8,63.34,Ferrite,0.211,185
29.442,18.25,0.0853,23.48,54.93,25.59,Ferrite,0.824,175
21.865,23.005,0.2722,335.56,39.04,18.4,Ferrite,0.92,105
30.168,18.249,0.7252,180.6,63.73,26.65,Ferrite,0.871,143
13.808,6.691,1.0993,181.35,54.36,78.82,Austenite,0.967,192
21.881,28.539,0.6945,331.91,68.94,26.23,Ferrite,0.922,201
20.01,8.077,0.7689,182.64,46.51,41.65,Ferrite,0.555,113
12.729,18.121,0.6053,157.83,35.77,63.52,Ferrite,0.519,163
10.886,5.132,0.2921,98.1,54.59,78.48,Ferrite,0.917,102
29.953,11.773,0.453,237.17,70.55,59.27,Ferrite,0.942,214
18.786,6.08,0.2364,205.07,56.93,67.78,Ferrite,0.978,115
13.888,16.117,0.2164,77.16,52.6,15.6,Ferrite,0.815,182
21.068,17.646,0.7205,255.39,44.56,78.97,Ferrite,0.362,112
36.549,55.121,0.263,231.87,76.09,24.81,Ferrite,0.956,166
7.883,26.031,0.6959,143.04,42.64,11.55,Ferrite,0.958,172
11.218,40.769,0.2095,1.58,46.3,87.86,Ferrite,0.733,126
14.523,35.033,0.6889,160.77,61.84,18.15,Ferrite,0.886,195
42.46,52.39,0.4534,2.18,32.73,12.3,Ferrite,0.649,204
24.983,37.978,1.022,27.0,70.3,56.34,Ferrite,0.955,200
31.073,38.531,0.6971,155.02,62.49,28.7,Ferrite,0.275,126
13.17,10.359,0.9707,29.49,65.79,12.0,Ferrite,0.891,184
13.293,22.056,0.3733,99.24,61.7,54.1,Ferrite,0.244,158
26.912,14.985,0.6168,235.98,53.07,68.31,Austenite,0.471,163
22.585,9.976,0.3057,111.1,42.24,71.39,Ferrite,0.308,147
28.162,37.449,0.4759,359.15,53.32,14.0,Ferrite,0.583,164
20.218,13.812,0.5214,329.87,43.3,50.12,Ferrite,0.386,99
24.933,46.265,0.3822,210.71,60.83,73.23,Ferrite,0.962,137
23.622,47.205,0.2353,348.1,64.68,14.5,Ferrite,0.647,105
31.219,27.376,0.1759,312.49,72.72,18.69,Ferrite,0.918,119
31.633,34.673,0.1019,114.8,59.46,0.22,Ferrite,0.422,98
10.613,32.229,0.2831,269.85,66.09,47.22,Austenite,0.221,110
8.003,39.508,0.7882,49.26,51.43,17.52,Ferrite,0.821,189
34.53,7.296,0.1205,246.44,49.26,65.18,Ferrite,0.762,157
37.544,30.364,0.1896,176.79,60.68,86.6,Ferrite,0.636,83
13.898,9.178,1.1373,6.06,50.36,18.79,Ferrite,0.852,190
9.527,12.876,0.4091,98.72,58.23,58.42,Ferrite,0.872,207
23.003,32.157,0.6963,343.94,42.27,19.07,Ferrite,0.67,203
33.446,22.047,0.7927,113.7,44.42,1.62,Ferrite,0.973,195
49.4,12.309,0.7988,65.32,62.62,68.27,Ferrite,0.776,219
27.754,43.3,0.1433,67.51,65.64,39.06,Ferrite,0.742,162
18.611,21.288,0.5307,172.52,43.17,85.21,Ferrite,0.489,215
14.719,47.611,0.1145,303.35,63.05,48.09,Ferrite,0.202,213
22.114,13.569,1.3339,272.88,48.61,14.17,Ferrite,0.393,124
19.228,26.164,0.1215,157.27,55.2,40.48,Ferrite,0.811,201
13.933,22.078,0.2856,75.14,72.0,18.26,Ferrite,0.768,191
55.312,15.405,0.2878,16.58,64.69,79.02,Ferrite,0.465,189
49.125,17.221,0.151,166.55,64.55,62.18,Ferrite,0.7,205
